# Histogram of lift execution times
# Unit: microseconds
000019 925461
000020 039731
000021 002515
000022 000599
000023 008973
000024 002313
000025 000083
000026 000144
000027 000614
000028 000689
000029 005044
000030 000694
000031 001175
000032 007719
000033 001360
000034 001500
000035 001235
000036 000104
000037 000021
000038 000013
000039 000005
000040 000004
000041 000003
000043 000001
# Total Loops: 1000000
# Min Latency: 19
# Avg Latency: 19
# Max Latency: 43
# Overflows:   0
