# Histogram of huff_enc execution times
# Unit: microseconds
000015 001123
000016 969547
000017 002781
000018 001052
000019 000271
000020 008101
000021 000352
000022 000086
000023 000270
000024 003042
000025 002057
000026 001511
000027 001053
000028 002220
000029 003498
000030 001691
000031 001141
000032 000155
000033 000021
000034 000010
000035 000013
000036 000003
000037 000001
000042 000001
# Total Loops: 1000000
# Min Latency: 15
# Avg Latency: 16
# Max Latency: 42
# Overflows:   0
