# Histogram of lift execution times
# Unit: microseconds
000019 950792
000020 017936
000021 001460
000022 000026
000023 008638
000024 002870
000025 008341
000026 000197
000027 000007
000028 000004
000029 001202
000030 007525
000031 000918
000032 000059
000033 000015
000034 000007
000035 000002
000036 000001
# Total Loops: 1000000
# Min Latency: 19
# Avg Latency: 19
# Max Latency: 36
# Overflows:   0
